doctor_id,full_name,specialization,department_id,hospital_id,phone_no,record_start,record_end
D00045,Dr. Kenneth Barber,Oncology,DEP07,H02,475.616.1477x413,2023-03-11,
D00046,dr. anthony najam,Pediatrics,DEP08,H03,+1-733-928-3741x8698,2023-04-13,
D00047,dr. zaheer grant,ENT,DEP02,H05,840-591-0865x3896,2023-02-17,
D00048,Dr. Jade Aryan,Oncology,DEP05,H03, +1-499-899-5049 ,2023-06-24,2024-02-29
D00049,Dr. LABEEB  Tahir,cardiology,DEP06,H02,+1-872-881-4113x71109,2023-03-15,
D00050,Dr. erin Woods,Pediatrics,DEP01,H05,,2023-05-04,2024-01-22
D00051,Dr. Stephen Ghauth,Pediatrics,DEP01,H01, (465)639-4355 ,2023-04-29,2024-02-12
D00052,Dr. Tiffany Estes, ent ,DEP02,H04, 741-607-6194X30832 ,2023-03-24,2024-01-15
D00053,dr. parsa martin, ENT ,DEP07,H02,315-448-2572_,2023-04-15,
D00054,Dr. MICHAEL Weaver,Orthopedics,DEP09,H05,(714)727-1611,2023-05-27,2023-12-19
D00055, Dr. rick Ghafoor ,neurology,DEP08,H03,429.321.7392,2023-02-11,2023-11-08
D00056,Dr. Yaqeen Talal,Cardiology,DEP01,H01,382-775-8197,2023-03-29,
D00057,dr. gh@zi nielsen,Oncology,DEP10,H05,(552)941-8503,2023-01-26,
D00058, DR. IKRIMAH PITTMAN ,ENT,DEP02,H01, (737)327-2037x483 ,2023-05-10,
D00059,Dr. Bryce AAMIL,Cardiology,DEP02,H02,7295783651,2023-01-04,2023-12-01
D00060,Dr. FELICIA Zuwayhir,Pediatrics,DEP09,H04,5723820591,2023-02-01,
D00061,Dr. kiara Garcia,PEDIATRICS-,DEP10,H02,412-593-3363x06127,2023-06-26,
D00062,Dr. Joseph Ubay,Pediatrics,DEP01,H02,001-742-927-8445x054,2023-04-06,2024-01-14
D00063,dr. lisa qadeer,Orthopedics.,DEP07,H01,001-790-625-4126x43583,2023-04-05,2023-10-09
D00064,Dr. Lutfi  Ihab,Pediatrics,DEP10,H04, +1-825-767-3288x33229 ,2023-01-27,
D00065,Dr. Brandon  Espinoza _, orthopedics ,DEP06,H01,001-521-875-7763,2023-03-13,
D00066,dr. elizabeth johnson,Pediatrics.,DEP08,H01,+1-709-878-3428,2023-01-01,2023-08-12
D00067,Dr. Etizaaz Green-,orthopedics,DEP05,H02, 001-621-236-2772X9029 ,2023-03-17,2023-10-19
D00068,Dr. Liban Ubaadah,cardiology,DEP05,H05,777-381-5806,2023-02-10,2023-11-20
D00069,dr. lynn aarif,PEDIATRICS,DEP03,H01,920-263-9373x0449,2023-01-10,2023-12-06
D00070,Dr. nafees Miles,ENT,DEP04,H05,(642)802-1627x23405,2023-06-13,2024-02-04
D00071,Dr.  zaahir  Rabb,ENT,DEP08,H01,(579)539-8804x70570,2023-01-04,
D00072, Dr. Melvin Wafeeq , Cardiology ,DEP03,H02, 387-241-5862x4138 ,2023-03-23,2024-03-10
D00073,DR. BALEEGH MOLINA,Neurology,DEP10,H02,001-928-998-6695x3800,2023-06-17,2024-03-13
D00074,Dr. N@eem Hint0n, Orthopedics ,DEP03,H05,(953)719-2554,2023-01-15,
D00075, Dr. Kari Graham ,oncology,DEP02,H04,,2023-03-18,2024-02-10
D00076, Dr. TALHAH RICHARDS ,Cardiology,DEP04,H01,(861)426-6086,2023-01-12,
D00077,Dr. Ubadah naeem,Oncology,DEP02,H02,(623)268-3729x5544,2023-02-16,
D00078,"Dr. Jerry, watson",Pediatrics,DEP04,H01,(854)215-6409x92743,2023-03-12,
D00079,"Dr. Melissa, Bennett",orthopedics,DEP04,H04,001-832-679-6503x4395,2023-04-07,2023-11-03
D00080, Dr.  jennifer  Saafir ,ENT,DEP06,H01,702-639-1745x416,2023-01-21,2023-11-21
D00081,Dr. ROBERT HANSEN,cardiology,DEP08,H05,001-749-584-1303x1539,2023-02-09,2023-11-16
D00082,DR. HAILEY RABBANI,ENT,DEP07,H05,+1-682-411-4930x2707,2023-04-15,
D00083, Dr. Bryan Umair _,neurology,DEP04,H05,671.593.4848x91758,2023-04-13,2024-03-31
D00084,Dr. Liyaqat Omar,Pediatrics,DEP07,H03,210-965-1795,2023-03-25,
D00085,dr. jeffrey rivera,Orthopedics,DEP10,H03,+1-523-423-9296x66034,2023-03-07,
D00086,dr.  ghauth  f0rd,Cardiology,DEP02,H02,6473008052,2023-03-22,
D00087,dr. guney bailey,neurology,DEP03,H04,8303164866,2023-05-26,
D00088,dr. susan omeir, Pediatrics ,DEP03,H04,001-765-628-7872x422,2023-06-19,2024-02-12
D00089,Dr. Wahban Jahdari,ENT,DEP08,H01,(454)316-8445,2023-06-30,
D00090, Dr. Ghazanfer Hoffman ,Oncology,DEP05,H05,+1-829-402-3531x892_,2023-06-20,
D00091,Dr. A@shif Payne.,Pediatrics,DEP04,H05,(556)613-0301x2397,2023-01-11,2023-12-27
D00092,DR. AATIF OWAIS,Orthopedics,DEP10,H04,364-454-5706x29842,2023-04-05,2023-11-24
D00093,Dr. daawood fox,Oncology,DEP07,H02,+1-803-912-7040,2023-05-14,2024-04-22
D00094,Dr. Jennifer Nguyen,Neurology,DEP10,H05,669.541.2674,2023-04-02,
D00095, Dr.  Aatiq   Wadood ,Pediatrics,DEP04,H02,001-482-389-2288,2023-03-02,2024-02-03
D00096,Dr. Ossama Limazah,Oncology,DEP01,H05, 731-402-6547 ,2023-05-03,2024-03-30
D00097,Dr. Zachary Talib,Neurology,DEP08,H02, 793-716-0175x96706 ,2023-02-03,
D00098,Dr. ryan Wise,ENT,DEP08,H04,(421)358-9405x501,2023-02-28,
D00099,Dr. Brend@ Rafay,Pediatrics,DEP02,H02,,2023-06-15,2023-12-12
D00100,dr.  alicia  garza, oncology ,DEP07,H05,+1-516-588-6850x90569,2023-03-28,2023-11-08
D00101,DR. ELIZABETH TALAL,ENT,DEP08,H04,(941)771-5185,2023-05-30,2024-04-27
D00102," Dr.  Mahbub  qusay, .",ENT,DEP10,H04,260-398-7778x177,2023-03-20,
D00103,Dr.  Nabeel  Miller,Neurology,DEP06,H04,3786238298,2023-01-19,2023-12-13
D00104,Dr. Aarif Auraq,Oncology,DEP04,H01,+1-214-605-2923x8303,2023-04-12,2023-11-17
D00105, dr. adam bates ,Oncology,DEP05,H03,+1-415-316-6509,2023-03-07,2024-02-19
D00106,Dr. Raakin Ihab,pediatrics,DEP06,H01,+1-914-632-0995x9304,2023-04-07,
D00107,dr. nathan gohar,oncology,DEP02,H04,339.627.9439x29456,2023-03-21,
D00108,Dr. Saalim Rafeek,NEUROLOGY,DEP05,H03,+1-507-458-7807,2023-05-05,2024-03-31
D00109,Dr. Justin idris,Pediatrics,DEP04,H03,(543)256-2298x3024,2023-06-10,
D00110,Dr. Andrea  Randolph,Pediatrics,DEP06,H03,6913895570,2023-02-20,
D00111,Dr.  Daanyaal  hansen,Oncology,DEP10,H01,+1-958-464-8466x71173.,2023-01-01,
D00112,Dr. Ubaydullah Murphy,Orthopedics,DEP08,H03,5489586995,2023-01-11,
D00113,Dr. Tahoor Guerra,Cardiology.,DEP09,H02,949-616-6900,2023-06-21,
D00114,Dr. jessica Aabid, cardiology ,DEP01,H05,+1-850-305-9974X15111,2023-04-25,
D00115,DR. MAHJA MOLINA,Neurology,DEP01,H05,(205)327-3944,2023-04-15,
D00116, dr. mallory  hays ,Pediatrics,DEP03,H03,984-233-6825x9796,2023-05-04,2024-02-11
D00117,Dr. stacey Gulshan,Orthopedics,DEP01,H03,5682915550,2023-03-06,2023-09-20
D00118,dr. heather carter-_, Oncology ,DEP08,H04,591.922.3025x805,2023-03-22,
D00119,Dr.  Ghiy@th  Sair,ONCOLOGY,DEP05,H01,,2023-02-15,2023-11-23
D00120,Dr.  Ghaith  Baleegh,NEUROLOGY,DEP02,H04,816.499.8923,2023-04-30,
D00121,Dr. pamela  Owais,Pediatrics,DEP06,H05,766.582.1484x4063,2023-04-30,
D00122,Dr. Saaqib Griffith,Oncology,DEP03,H04,(229)200-1083x321,2023-01-07,2023-12-17
D00123, Dr. Kevin Ghunayn ,NEUROLOGY,DEP10,H02,001-488-868-7860,2023-04-03,2024-03-06
D00124,Dr. Umar H@rdin,Neurology,DEP07,H02,+1-704-526-6892x175,2023-03-27,2023-09-29
D00125, Dr. Sean Ghayoor ,orthopedics,DEP01,H01,792.480.1158,2023-06-06,
D00126,DR.  HAZEEM  LAJLAJ,ent,DEP06,H02,(831)319-7830x079,2023-01-12,
D00127,Dr.  JONATHAN  Majd,Orthopedics,DEP06,H05,897.349.0689x91020,2023-06-21,
D00128,Dr. elizabeth ihsaan,Cardiology-,DEP04,H03,001-672-427-8162x1281,2023-05-18,2024-02-28
D00129,dr. lee barr,pediatrics,DEP08,H03,(658)769-6235x13348,2023-06-19,
D00130,dr. yureed moyer,Cardiology,DEP01,H03, 357.979.9147 ,2023-05-01,2024-04-01
D00131,Dr. Melissa  Sadan,Orthopedics,DEP08,H03,001-663-600-2094x520,2023-03-14,2024-01-28
D00132,Dr. basir Barber,Cardiology,DEP07,H04,829.427.0896x0590,2023-02-17,
D00133,Dr. urrab Qadeer-,Neurology,DEP09,H02,001-937-990-0104,2023-01-20,2023-09-28
D00134,Dr. Zuw@yhir z@@fir,Neurology-,DEP05,H03,636-979-2637x8752,2023-06-03,
D00135,Dr. Zayan Fox,cardiology,DEP06,H04,,2023-05-25,
D00136,"Dr. umaarah, Esfandyar",NEUROLOGY,DEP10,H01,(381)790-9923,2023-02-28,
D00137,Dr. Lut Aasif,ENT,DEP09,H03,001-944-757-1694x393,2023-06-22,2024-06-02
D00138,dr. kawkab wyatt,"ent,",DEP07,H01,001-733-923-3705x36489,2023-06-30,2024-02-22
D00139,dr. qamar  aarif,CARDIOLOGY,DEP07,H05,(417)972-6081x32010,2023-04-07,
D00140,Dr. Brittany Zaahid, Pediatrics ,DEP10,H01,854.504.6732x4479,2023-02-24,
D00141, Dr. Idrees jones ,ENT,DEP05,H01,001-402-704-8541x01558,2023-02-08,
D00142,Dr. EL-AMIN Aamir,cardiology,DEP02,H05,+1-733-778-5435X677,2023-01-21,
D00143,Dr. t@@nish DOUGLAS,Oncology,DEP04,H03, 001-623-734-8589x27371 ,2023-04-11,
D00144,Dr. Michael Basheerah,Pediatrics_,DEP10,H04,,2023-03-03,2024-01-14
D00145,Dr. Robert Perez,Pediatrics,DEP09,H05,001-381-809-8311x76559,2023-01-18,2023-10-28
D00146,Dr. KAREN nabih, ENT ,DEP07,H04,587-345-3923x8127,2023-06-16,2024-03-07
D00147,Dr. Baseer Awamil,PEDIATRICS,DEP07,H05,432.609.4551x4467,2023-06-16,2023-12-24
D00148, Dr. Azban Owais- ,Cardiology,DEP04,H05,001-433-766-4910x3377,2023-01-21,2023-08-15
D00149,DR. MAHDEE NABIH,Oncology,DEP03,H01, 001-324-369-6520x008 ,2023-06-16,
D00150,Dr. Candice Jones,Pediatrics,DEP07,H03,422.828.9747x70256,2023-05-01,
D00151,Dr. Aahil Taimur,Cardiology,DEP09,H01,318.947.4752x591,2023-03-01,2023-11-27
D00152,Dr. DANISH Zackariya,Neurology,DEP06,H04,397-234-1792x64333,2023-05-06,2023-12-26
D00153,DR. GHULAM BABAR,Orthopedics,DEP05,H01, 651.820.9915 ,2023-05-15,2024-02-20
D00154,dr. christopher damurah,ENT,DEP10,H05,279-873-9034x57214,2023-01-05,
D00155,Dr. paul Calderon,Neurology,DEP08,H04,922.548.0434x55627,2023-06-17,
D00156, dr. ihtesham qadar ,Oncology,DEP04,H04,928.914.5351x7211,2023-01-06,2023-12-28
D00157,Dr. Wafiq Saad,neurology,DEP02,H04,(697)684-5672x76866,2023-02-05,2023-12-15
D00158,dr. baaree diaz,Pediatrics,DEP01,H04,533-284-5571,2023-04-05,2023-12-20
D00159,Dr. Gail FIDVI,Neurology,DEP06,H04,(997)640-7250x56290,2023-04-14,
D00160,Dr.  awmar  Ijli,ENT,DEP02,H03,558.538.6160x60395,2023-01-02,
D00161,Dr. Kashif Iftikhaar,orthopedics,DEP08,H04,001-845-255-3529x81511,2023-06-23,
D00162,Dr. Ibn Ghutayf,Pediatrics,DEP08,H03,001-690-342-3263x78767,2023-05-23,2024-01-17
D00163, DR. ETIZAAZ ZAAHID ,CARDIOLOGY,DEP08,H02,(616)348-2529,2023-02-24,2023-11-23
D00164,Dr. Mario. Harris,neurology,DEP05,H03,805.293.7799x86973,2023-05-21,2023-11-23
D00165,Dr. ELAF SIMS,PEDIATRICS,DEP03,H03, 253.287.2379 ,2023-04-16,
D00166,"Dr. Tahoor Mahmoud,",Cardiology-,DEP01,H01,001-568-401-5851x473,2023-03-30,2024-01-02
D00167,DR. ROBERT GRIMES,Cardiology,DEP09,H02,+1-346-392-5494x44155,2023-02-18,
D00168,Dr.  kelsey  Rabbani,Orthopedics,DEP02,H01,648.357.7119,2023-05-22,2024-01-27
D00169,Dr. Aahil Ghutayf,ENT,DEP07,H04,+1-883-379-4121x6685,2023-04-30,2023-12-27
D00170,Dr. James Graham,Orthopedics,DEP06,H02,(426)552-7148,2023-04-29,2023-11-05
D00171,"Dr. Maher Barr,_",Pediatrics,DEP06,H03,797-576-5628x66564,2023-05-14,2024-02-03
D00172,Dr. Ghiyath T@imur,ORTHOPEDICS,DEP10,H01,+1-224-542-6279,2023-03-17,
D00173,Dr. Christine  Aguilar,Orthopedics,DEP08,H03,987.776.4552,2023-01-22,
D00174,dr. malik ortiz,Orthopedics,DEP04,H01,545.287.2585x2415,2023-01-16,2024-01-07
D00175,Dr. Aatif olson,cardiology,DEP10,H02,321-235-7616,2023-04-27,
D00176,DR. SAAL QAIS,Neur0l0gy,DEP03,H02,,2023-03-31,2024-01-16
D00177,Dr. Justin howe, ENT ,DEP09,H03,(217)404-9384,2023-02-11,
D00178,Dr. Ubadah DANIELS,Neurology,DEP03,H03,2745005052,2023-05-24,
D00179,dr. erik webb,ent,DEP07,H01, 605-564-3977x7906 ,2023-04-14,2023-11-25
D00180,Dr. QUDOOS jaabir_,pediatrics,DEP01,H05,231.784.0526,2023-04-10,
D00181,"dr.  jessica , zafar",Cardiology,DEP09,H04,001-400-878-6178x1588,2023-01-05,2023-10-16
D00182,DR. CHRISTINE BAASIM,Pediatrics,DEP08,H05,+1-384-895-3183x8291,2023-04-04,2023-12-16
D00183,Dr. David Ihtiram,ONCOLOGY,DEP01,H01,,2023-05-24,2024-01-03
D00184,Dr. Urrab Shelton,Orthopedics,DEP09,H03,917-585-3681x95492,2023-06-07,2024-01-24
D00185,Dr. Saad  Qadar,Cardiology,DEP02,H01,968.339.5731,2023-04-05,
D00186,Dr. Ayyubi Taylor,orthopedics,DEP02,H05,(474)408-7230x8054,2023-02-05,2023-11-08
D00187, Dr. Badr carpenter_ ,ORTHOPEDICS,DEP05,H05,(686)985-7282x2833,2023-04-04,2024-01-09
D00188,dr. steven luay.,Neurology,DEP01,H02,(479)561-4696x614,2023-05-16,2023-11-19
D00189,Dr. Luqman Bryant,ent,DEP04,H04,+1-888-250-5141x17720,2023-01-24,2023-08-26
D00190,Dr. Zaheer SAAQIB,Oncology,DEP06,H04, 562-305-2443 ,2023-06-10,
D00191,dr. tyler najeeb,Oncology_,DEP07,H02, 001-796-692-8593x018 ,2023-01-23,2023-12-01
D00192,dr. ikramah liu,Oncology,DEP09,H04,+1-778-895-7777x1333,2023-01-28,
D00193,Dr. TAHMASEB petersen, cardiology ,DEP01,H01,494-880-1188x5480,2023-03-26,
D00194,Dr. Andre@ Brock,Cardiology,DEP05,H02,+1-471-298-3286x68968,2023-03-31,
D00195,Dr.  ghauth   Graves .,orthopedics,DEP07,H05,944.393.8305x095,2023-04-06,
D00196, dr. derek tahaw-wur ,Pediatrics,DEP03,H02,390.278.6467,2023-04-09,2023-10-20
D00197,Dr. ALEX  H@yes,Orthopedics,DEP04,H02,5017081610,2023-01-07,2023-10-17
D00198,Dr. Zaweel Raatib.,Cardiology,DEP01,H04,3559050971,2023-05-24,
D00199, Dr. Aarif  ramos ,Neurology,DEP02,H02,968.699.7561,2023-04-24,
D00200,Dr. DWAYNE Taaj,Cardiology,DEP03,H02,001-962-892-5519x7972,2023-06-07,
D00201,Dr. MELVIN Taheem-,Orthopedics,DEP05,H03,+1-542-443-5685x0302,2023-01-28,2023-12-22
D00202,Dr. Lutfi glover,Oncology,DEP09,H04,001-281-689-8966x50787-,2023-01-03,2023-11-09
D00203,Dr. yaman Barnes,Oncology,DEP03,H02,265.934.2434,2023-03-23,2024-02-17
D00204,Dr. Katherine Mcmahon,neurology,DEP10,H03,001-717-212-1359x361,2023-03-13,2023-10-13
D00205, Dr. Ulfat_ franco ,Orth0pedics,DEP10,H01,+1-807-211-7806x0100,2023-04-08,
D00206, dr. j@hm kaleem , Oncology ,DEP03,H04,(516)967-6405,2023-02-25,2024-01-02
D00207,dr. badr udeen kaamil,orthopedics,DEP09,H02,(579)480-3494,2023-03-26,2023-12-30
D00208,Dr. C0lt0n Qahtan,Neurology,DEP02,H03,,2023-06-05,
D00209,Dr. Amber RUSSO, Pediatrics ,DEP07,H04,230.218.3027,2023-05-10,
D00210, Dr. Idris H@ll ,ENT,DEP09,H02,812-230-1622x646,2023-03-24,
D00211,dr. basheerah  qahtan, Neurology ,DEP10,H01,686-864-0523x2082,2023-06-23,2024-04-05
D00212,dr. eileen rabb,ent,DEP08,H02,001-340-610-9987x43936,2023-02-28,2023-10-17
D00213,Dr. Richard Williams,ent,DEP03,H01,3486489274.,2023-05-14,
D00214,dr. p@trici@_ t@hir,Orthopedics,DEP03,H04,256-595-3834x57362,2023-03-08,
D00215,dr. mahdi qaim,Cardiology,DEP05,H05,468-922-6038x107,2023-01-24,2023-07-26
D00216,Dr. Christopher Wadi, Orthopedics ,DEP07,H01,,2023-01-27,2023-12-07
D00217,dr. ubayd miller,Oncology,DEP02,H01,6125014036,2023-03-02,2023-12-31
D00218,Dr. Parsa Wagner,ent,DEP03,H03,(931)995-7454x8709,2023-03-17,2023-12-30
D00219,Dr. Steven qadar,Oncology,DEP10,H03,448.486.4459,2023-03-17,2024-01-05
D00220, Dr. shelby Hensley ,Cardiology,DEP06,H03,9302327489,2023-04-24,2023-12-31
D00221,Dr. Attaf Aamirah,Orthopedics,DEP03,H02, 635.870.5863x69260 ,2023-01-08,
D00222,Dr. Stacey Auraq,Orthopedics,DEP10,H02, 001-250-517-7377x195 ,2023-06-24,2024-04-23
D00223,Dr. Melissa watson,ENT,DEP03,H03,001-780-275-3451x36720,2023-03-24,
D00224,Dr. Gulfam Saajid,Cardiology,DEP07,H01,2613301478,2023-01-26,2023-11-13
D00225,Dr. Amy wright,ENT,DEP03,H04,,2023-01-11,
D00226,DR. JASON  CHANDLER,neurology,DEP03,H05,(441)852-5589x0000,2023-02-13,
D00227,Dr. john Trujillo,ENT,DEP09,H03,,2023-04-30,
D00228,Dr. Mizhir Wilson,ENT,DEP07,H02,876.333.5337,2023-03-08,
D00229,Dr. Ghufran SABUR,Cardiology,DEP03,H03,(483)365-0979,2023-04-15,2023-10-24
D00230,Dr. erika Dixon,Oncology,DEP03,H03,5154569040,2023-03-21,2023-11-07
D00231,Dr. M@rth@ Idris,orthopedics,DEP07,H01,487-471-8098x97439,2023-01-31,2023-10-19
D00232,dr. john  ijli,Pediatrics,DEP01,H01,808-362-2631x2278,2023-06-26,2024-01-01
D00233,Dr. benjamin R@bi@h.,c@rdi0l0gy,DEP02,H04,+1-301-213-5447x906,2023-05-13,
D00234,Dr. gh@ith KELLY,pediatrics,DEP01,H04, 001-960-937-4045 ,2023-04-27,
D00235, dr. laura saajid ,Neurology,DEP06,H01,(241)352-2221x86896,2023-03-04,2023-10-19
D00236,Dr. Susan Davis,orthopedics,DEP05,H05,+1-802-439-8953x8280,2023-04-02,
D00237,Dr. Zafeer Lee,neurology,DEP10,H04,,2023-02-07,
D00238,dr. ulfat  hanson,ORTHOPEDICS,DEP01,H05,+1-524-672-7920,2023-03-06,
D00239, Dr. Douglas Martinez ,Pediatrics,DEP02,H05,325-733-1010X462,2023-03-28,2024-03-09
D00240,Dr. Timothy Sadeed,Pediatrics,DEP04,H02,+1-223-494-1609X911,2023-05-18,2024-03-23
D00241,Dr. rabb Gomez.,ent,DEP10,H03,+1-998-585-1519_,2023-01-23,2023-08-06
D00242,Dr. michelle- Tate,ENT,DEP06,H03,+1-535-508-3514x4021,2023-03-22,
D00243,Dr. Ali BARR,Pedi@trics,DEP09,H02,(531)432-9624x563,2023-03-23,
D00244,Dr. Omar Sadan,Oncology,DEP05,H05,691.526.2177x821,2023-06-27,
D00245,Dr. Amanda Williams,Cardiology,DEP01,H01,(238)337-5758x197,2023-01-04,2023-08-16
D00246,Dr. William CONTRERAS,"ent,",DEP10,H02,+1-778-552-3595,2023-01-07,2023-09-16
D00247, dr. naasih tr@vis ,oncology,DEP08,H05, (675)925-9113 ,2023-02-10,2024-02-05
D00248,dr. gulshan monroe,Orthopedics,DEP06,H05,+1-737-436-5859X053,2023-04-15,2024-02-12
D00249,dr. rhonda  ali, ENT ,DEP04,H05,756.771.0664,2023-06-29,
D00250,dr. awj yahyaa, ENT ,DEP10,H04,(944)234-8675x153,2023-04-29,2023-11-30
D00251,Dr.  Annette  luay,Pediatrics,DEP07,H05, +1-231-724-5821x1224 ,2023-02-14,2023-10-29
D00252,Dr.  Aimee   ayaan,orthopedics,DEP05,H03,001-669-662-6725x572,2023-05-11,2024-03-28
D00253,Dr. Jalaal R@@shid, Pediatrics ,DEP02,H04,(655)407-5273x1411,2023-06-12,2024-02-11
D00254,Dr. Jafar  Zuwayhir,Oncology,DEP02,H01,+1-632-730-0838,2023-04-09,2023-10-25
D00255,Dr. Q@wee H@nsen,Pediatrics.,DEP01,H04,668-978-0278,2023-01-08,2023-08-19
D00256, Dr. Savannah Tahawwur ,ent,DEP02,H03,756.908.8966,2023-06-24,2023-12-30
D00257,Dr. matthew_ Smith,NEUROLOGY,DEP01,H01,+1-635-990-1274,2023-02-07,2023-12-15
D00258,dr.  perv@iz  ibraaheem,pediatrics,DEP05,H02,001-632-742-9772,2023-01-02,
D00259,Dr. Eric SAAD,0nc0l0gy,DEP05,H01,5448478180,2023-04-05,2024-02-06
D00260,Dr.  Rafiq  aasif,Oncology,DEP02,H01, 964.666.5026x7229 ,2023-01-14,2023-08-01
D00261,Dr. Brend@n Gutierrez, Oncology ,DEP05,H01,001-575-297-1200x7073,2023-03-13,2023-11-05
D00262,DR. KAREEM LAHIAH,Oncology,DEP01,H03,+1-906-369-0944x438-,2023-04-26,2023-12-01
D00263,Dr.  kazi  Qais,Cardiology,DEP09,H01,955-754-2649,2023-01-28,2023-10-01
D00264, Dr. kelsey MCCORMICK , oncology ,DEP08,H02,491.206.5429,2023-06-13,2024-02-02
D00265,DR. RAED MORAN,C@rdi0l0gy,DEP05,H01,+1-675-332-5009,2023-01-26,
D00266,Dr. awani Umaarah,Pediatrics,DEP06,H02,(624)206-2062x358,2023-05-27,
D00267,dr. shannon kaamil, Neurology ,DEP01,H03,+1-598-839-2821x3563,2023-06-21,
D00268,Dr. Rohaan Oliver, Neurology ,DEP01,H01,+1-601-249-7127x5437,2023-06-01,2024-01-15
